Freq.	I(Ci)/V(o)	I(Co)/V(o)
7.40000000000000e+008	-1.72588082186381e-005,-4.15429566355885e-003	2.69435299272321e-005,4.15396629897305e-003
7.50000000000000e+008	-1.77284053791236e-005,-4.21043281678923e-003	2.74130971923587e-005,4.21010477609426e-003
7.60000000000000e+008	-1.82043054071529e-005,-4.26656989039665e-003	2.78889669231477e-005,4.26624309690819e-003
7.70000000000000e+008	-1.86865082847248e-005,-4.32270688331958e-003	2.83711391024583e-005,4.32238126567251e-003
7.80000000000000e+008	-1.91750139935996e-005,-4.37884379449652e-003	2.88596137120979e-005,4.37851928208065e-003
7.90000000000000e+008	-1.96698225152995e-005,-4.43498062286596e-003	2.93543907331876e-005,4.43465714899377e-003
8.00000000000000e+008	-2.01709338311080e-005,-4.49111736736640e-003	2.98554701474723e-005,4.49079486716122e-003
8.10000000000000e+008	-2.06783479220705e-005,-4.54725402693636e-003	3.03628519354619e-005,4.54693243918867e-003
8.20000000000000e+008	-2.11920647689939e-005,-4.60339060051433e-003	3.08765360786810e-005,4.60306986403727e-003
8.30000000000000e+008	-2.17120843524466e-005,-4.65952708703884e-003	3.13965225573755e-005,4.65920714454261e-003
8.40000000000000e+008	-2.22384066527588e-005,-4.71566348544842e-003	3.19228113510264e-005,4.71534428047477e-003
8.50000000000000e+008	-2.27710316500223e-005,-4.77179979468157e-003	3.24554024414055e-005,4.77148127556348e-003
8.60000000000000e+008	-2.33099593240905e-005,-4.82793601367686e-003	3.29942958069334e-005,4.82761812745848e-003
8.70000000000000e+008	-2.38551896545785e-005,-4.88407214137281e-003	3.35394914282262e-005,4.88375483845894e-003
8.80000000000000e+008	-2.44067226208630e-005,-4.94020817670796e-003	3.40909892840039e-005,4.93989140827531e-003
8.90000000000000e+008	-2.49645582020821e-005,-4.99634411862088e-003	3.46487893534458e-005,4.99602783689057e-003
9.00000000000000e+008	-2.55286963771361e-005,-5.05247996605011e-003	3.52128916157024e-005,5.05216412839208e-003
9.10000000000000e+008	-2.60991371246863e-005,-5.10861571793423e-003	3.57832960497057e-005,5.10830027878614e-003
9.20000000000000e+008	-2.66758804231561e-005,-5.16475137321180e-003	3.63600026333982e-005,5.16443629119788e-003
9.30000000000000e+008	-2.72589262507304e-005,-5.22088693082139e-003	3.69430113451818e-005,5.22057216516747e-003
9.40000000000000e+008	-2.78482745853557e-005,-5.27702238970159e-003	3.75323221629178e-005,5.27670790043945e-003
9.50000000000000e+008	-2.84439254047402e-005,-5.33315774879099e-003	3.81279350640000e-005,5.33284349696273e-003
9.60000000000000e+008	-2.90458786863536e-005,-5.38929300702818e-003	3.87298500268614e-005,5.38897895570804e-003
9.70000000000000e+008	-2.96541344074277e-005,-5.44542816335177e-003	3.93380670275735e-005,5.44511427623261e-003
9.80000000000000e+008	-3.02686925449553e-005,-5.50156321670035e-003	3.99525860439499e-005,5.50124946160193e-003
9.90000000000000e+008	-3.08895530756914e-005,-5.55769816601254e-003	4.05734070529703e-005,5.55738450844394e-003
1.00000000000000e+009	-3.15167159761525e-005,-5.61383301022698e-003	4.12005300302095e-005,5.61351941512371e-003
